year,demand_twh,capacity_mw,primary_energy_twh,gen_solar_twh,gen_wind_twh,gen_hydro_twh,gen_gas_twh,gen_coal_twh,gen_nuclear_twh,share_solar_pct,share_wind_pct,share_hydro_pct,gdp_billion_usd,population_millions,demand_twh_lag_1,demand_twh_lag_2,demand_twh_lag_3,demand_growth_yoy,demand_growth_3yr,demand_ma_3yr,demand_ma_5yr,gdp_growth_yoy,pop_growth_yoy,demand_twh_cagr_5yr
2005,94.71,6777.29,641.3387,0.0,0.0,30.86,41.29,0.13,2.41,0.0,0.0,32.64,145.208562960767,175.453212,86.07,82.15,75.77,10.03834088532589,24.99670054111125,87.64333333333333,82.16199999999999,9.826730404164575,2.432897026026648,7.3316734658480875
2006,99.7,6763.29,679.6269,0.0,0.0,31.95,35.81,0.14,2.55,0.0,0.0,32.1,161.87138550635999,179.68269,94.71,86.07,82.15,5.268715024812587,21.36335970785148,93.49333333333333,87.67999999999999,11.475096375752303,2.410601636634624,6.69398409157127
2007,96.35,6798.03,717.0553,0.0,0.0,28.71,32.92,0.14,2.31,0.0,0.0,29.86,184.14086999746,184.493231,99.7,94.71,86.07,-3.360080240722174,11.94376670152202,96.92,91.79599999999999,13.757517686920039,2.6772423097628284,4.923045113514668
2008,93.24,6922.47,718.6775,0.0,0.0,27.78,29.68,0.11,1.74,0.0,0.0,29.87,202.203748583854,189.499113,96.35,99.7,94.71,-3.2278152568759766,-1.552106430155209,96.42999999999999,94.014,9.809271883337555,2.713314723183524,2.5649421524175375
2009,96.36,6932.12,745.36194,0.0,0.01,28.09,28.08,0.12,2.64,0.0,0.01,29.23,187.337783856466,194.376534,93.24,96.35,99.7,3.346203346203347,-3.350050150451356,95.31666666666666,96.072,-7.351972864747902,2.573848986828775,2.2843047880356293
2010,94.81,7012.37,749.46985,0.01,0.01,31.81,25.88,0.09,2.56,0.01,0.01,33.65,196.709621849586,199.239047,96.36,93.24,96.35,-1.6085512660855117,-1.5983393876491836,94.80333333333333,96.092,5.002641645585237,2.501594662656137,0.02110818130030001
2011,95.1,7025.21,753.3283,0.03,0.02,28.52,27.65,0.1,3.84,0.03,0.02,30.07,230.586581059665,203.746065,94.81,96.36,93.24,0.30587490771014636,1.9948519948519872,95.42333333333333,95.172,17.221810957464513,2.2621158190944346,-0.9402855554214384
2012,98.48,7142.21,701.7945,0.07,0.01,29.86,27.12,0.06,5.27,0.07,0.01,30.44,250.10696610470401,207.667125,95.1,94.81,96.36,3.5541535226077947,2.2000830220008316,96.13,95.598,8.465533837803019,1.9244837930980419,0.43827938732985405
2013,105.3,7564.44,775.3793,0.14,0.4,31.87,26.67,0.16,4.4,0.13,0.38,30.39,258.65723167241197,211.073978,98.48,95.1,94.81,6.925264012997556,11.064233730619133,99.62666666666667,98.01,3.4186435111641433,1.6405355445644032,2.462564449282878
2014,108.35,7915.1,786.30774,0.24,0.8,32.47,28.35,0.14,4.58,0.22,0.74,30.09,271.390474857632,214.264647,105.3,98.48,95.1,2.8964862298195504,13.932702418506837,104.04333333333334,100.40799999999999,4.922825123771002,1.5116354134378396,2.373234441846561
2015,113.25,8127.7,829.31226,0.38,0.79,34.63,35.0,0.15,4.33,0.34,0.7,30.7,299.963590534773,217.290883,108.35,105.3,98.48,4.522381172127377,14.997969130787968,108.96666666666665,104.096,10.528415078727459,1.4123823236224409,3.6183835082902904
2016,123.4,8807.87,900.4373,0.68,1.33,32.18,41.43,0.62,5.44,0.55,1.08,26.18,313.630000130435,220.138869,113.25,108.35,105.3,8.962472406181021,17.18898385565053,115.0,109.756,4.556022806400484,1.310679012703897,5.34815366491963
2017,130.92,9224.03,951.9927,0.92,2.1,27.92,49.2,10.91,8.11,0.71,1.61,21.42,339.2055348611,223.273967,123.4,113.25,108.35,6.094003241491075,20.830641439778486,122.52333333333333,116.244,8.15468377388273,1.4241455923896806,5.859927285807887
2018,129.51,12203.88,967.48016,0.92,3.16,27.34,57.44,15.77,9.29,0.71,2.45,21.19,356.128166704921,226.928892,130.92,123.4,113.25,-1.0769935838680134,14.357615894039721,127.94333333333333,121.08599999999998,4.988902038626986,1.6369687201374328,4.22573979588039
2019,135.48,12349.05,973.6355,2.61,2.88,33.58,46.02,25.86,9.07,1.93,2.13,24.88,320.909472770669,230.800899,129.51,130.92,123.4,4.6096826499884225,9.789303079416523,131.97,126.51199999999999,-9.88933120907376,1.7062644451637299,4.570516825016258
2020,146.66,12764.35,959.6698,4.1,2.9,33.55,49.47,27.55,9.64,2.81,1.98,22.95,300.425609817981,235.001746,135.48,129.51,130.92,8.252140537348684,12.022609227008862,137.21666666666667,133.19400000000002,-6.38306584590177,1.8201172604618066,5.306382479983007
2021,163.71,13248.49,1066.0114,5.79,4.58,33.55,48.67,25.91,15.74,3.55,2.81,20.56,348.516647445148,239.477801,146.66,135.48,129.51,11.625528433110599,26.407227241139687,148.61666666666667,141.256,16.007635852450775,1.904690103876927,5.816163056585855
2022,176.43,15097.66,979.10126,7.72,6.34,34.58,46.98,27.49,22.28,4.39,3.6,19.65,374.890295666694,243.700667,163.71,146.66,135.48,7.769836906725303,30.225863596102755,162.26666666666665,150.358,7.567399840117206,1.7633642794306459,6.148359712838336
2023,172.45,16133.72,904.24133,11.35,6.05,37.9,45.51,26.44,22.44,6.6,3.52,22.04,336.686348609266,247.504495,176.43,163.71,146.66,-2.2558521793345943,17.584890222282823,170.86333333333334,158.94599999999997,-10.190700452644997,1.5608607259166796,5.894152533965635
2024,175.44,17525.32,888.3728,19.83,5.16,38.27,43.98,24.36,22.88,11.33,2.95,21.87,371.570000121266,251.269164,172.45,176.43,163.71,1.7338358944621657,7.1651090342679025,174.7733333333333,166.93800000000002,10.360874937784725,1.5210507590983413,5.305410672046906
